Ref,Val,Package,PosX,PosY,Rot,Side
"C1","8.2n","C_0603_1608Metric",136.500000,-97.275000,90.000000,bottom
"C2","33p","C_0603_1608Metric",139.484104,-97.266895,-90.000000,bottom
"C3","1n","C_0603_1608Metric",139.492501,-100.495049,90.000000,bottom
"C4","220u","CP_Radial_D10.0mm_P5.00mm",105.500000,-61.632323,-90.000000,bottom
"C5","220u","CP_Radial_D10.0mm_P5.00mm",105.500000,-77.367677,90.000000,bottom
"C6","100n","C_0603_1608Metric",142.000000,-97.000000,-90.000000,bottom
"C7","100n","C_0603_1608Metric",130.500000,-91.500000,90.000000,bottom
"C8","OS-CON 220uF16V105℃","CP_Radial_D8.0mm_P3.50mm",131.000000,-100.152651,90.000000,bottom
"C9","1u","C_0603_1608Metric",128.500000,-78.500000,-90.000000,bottom
"C10","100n","C_0603_1608Metric",133.000000,-65.775000,-90.000000,bottom
"C11","100n","C_0603_1608Metric",124.257379,-75.790854,180.000000,bottom
"C12","10u","C_0805_2012Metric",139.000000,-72.000000,180.000000,bottom
"C13","100n","C_0603_1608Metric",123.500000,-73.500000,-90.000000,bottom
"C14","100n","C_0603_1608Metric",131.491802,-60.810542,-90.000000,bottom
"C15","1u","C_0603_1608Metric",108.500000,-56.000000,90.000000,bottom
"C16","100n","C_0603_1608Metric",123.810342,-57.008178,0.000000,bottom
"C17","100n","C_0603_1608Metric",121.213802,-60.322364,90.000000,bottom
"C18","100n","C_0603_1608Metric",128.225000,-62.000000,0.000000,bottom
"D4","D_Schottky","D_SOD-323F",125.047660,-60.507385,90.000000,bottom
"D6","D_Schottky","D_SOD-323F",112.000000,-66.000000,90.000000,bottom
"D7","D_Schottky","D_SOD-323F",121.106320,-64.500000,180.000000,bottom
"D9","12V_Zener","D_SOD-323",152.004674,-71.055664,180.000000,bottom
"D10","12V_Zener","D_SOD-323",142.500000,-78.500000,180.000000,bottom
"F1","Fuse","Fuse_1206_3216Metric",143.500000,-68.500000,0.000000,bottom
"IC2","NCP3020ADR2G","SOIC127P600X175-8N",137.500000,-91.500000,90.000000,bottom
"IC3","TC74HC00AF_F_","SOIC127P780X190-14N",117.000000,-75.000000,90.000000,bottom
"IC4","L78M05CDT","TO225P972X240-3N",138.000000,-62.000000,180.000000,bottom
"IC5","TC7W14FK","SOP50P310X90-8N",128.500000,-59.750000,180.000000,bottom
"L1","60B104C","60B104C",113.000000,-96.000000,-90.000000,bottom
